,,,,,,Dist. Per pulse,0.025,,,
,,,,,,,,,,
,,,,,,,,,,
# Number of Rows, Mode,Est. of Time Step. Avg. (Avg. of all prev.),,Time Step,Time,Incr. Dist.,Total Dist.,Speed,Accel,Jerk
85,0.1227,0.1138,,0.1143177,11.46,0.025,3.264,0.22,0.00,0.00
86,0.1231,0.1139,,0.1450806,11.61,0.032,3.296,0.22,0.00,0.00
87,0.1242,0.1140,,0.176044,11.78,0.039,3.335,0.22,0.00,0.00
88,0.1258,0.1142,,0.2069066,11.99,0.045,3.380,0.22,0.00,0.00
89,0.1247,0.1143,,0.0838091,12.07,0.018,3.398,0.22,0.00,-0.02
90,0.1257,0.1144,,0.1758962,12.25,0.038,3.437,0.22,0.00,0.01
91,0.1260,0.1146,,0.1450386,12.39,0.032,3.469,0.22,0.00,0.00
92,0.1255,0.1147,,0.1142321,12.51,0.025,3.493,0.22,0.00,0.00
93,0.1250,0.1148,,0.1141491,12.62,0.025,3.518,0.22,0.00,0.00
94,0.1260,0.1149,,0.1757891,12.80,0.038,3.557,0.22,0.00,0.00
95,0.1273,0.1151,,0.2374601,13.04,0.052,3.608,0.22,0.00,0.00
96,0.1280,0.1152,,0.2580578,13.29,0.056,3.664,0.22,0.00,0.00
97,0.1270,0.1153,,0.0833075,13.38,0.018,3.682,0.22,0.00,-0.02
98,0.1283,0.1154,,0.2371883,13.61,0.051,3.734,0.22,0.00,0.01
99,0.1293,0.1156,,0.257833,13.87,0.056,3.789,0.22,0.00,0.00
100,0.1307,0.1157,,0.2371829,14.11,0.051,3.841,0.22,0.00,0.00
101,0.1296,0.1159,,0.0835259,14.19,0.018,3.859,0.22,0.00,-0.02
102,0.1297,0.1160,,0.1447029,14.34,0.031,3.890,0.22,0.00,0.01
103,0.1246,0.1161,,0.3497143,14.69,0.075,3.965,0.22,0.00,0.00
104,0.1260,0.1162,,0.2575099,14.95,0.055,4.020,0.22,0.00,0.00
105,0.1267,0.1163,,0.2912381,15.24,0.063,4.083,0.21,0.00,0.00
106,0.1267,0.1164,,0.1449823,15.38,0.031,4.114,0.21,0.00,0.00
107,0.1267,0.1165,,0.1454065,15.53,0.031,4.145,0.21,0.00,0.00
108,0.1268,0.1166,,0.1445932,15.67,0.031,4.176,0.21,0.00,0.00
109,0.1268,0.1167,,0.1446843,15.82,0.031,4.207,0.21,0.00,0.00
110,0.1281,0.1168,,0.2060497,16.02,0.044,4.252,0.21,0.00,0.00
111,0.1271,0.1169,,0.0835299,16.11,0.018,4.269,0.21,0.00,-0.01
112,0.1286,0.1170,,0.236618,16.34,0.051,4.320,0.21,0.00,0.01
113,0.1298,0.1171,,0.205925,16.55,0.044,4.364,0.21,0.00,0.00
114,0.1292,0.1172,,0.1137719,16.66,0.024,4.388,0.21,0.00,-0.01
115,0.1298,0.1173,,0.1751401,16.84,0.037,4.425,0.21,0.00,0.00
116,0.1313,0.1175,,0.2364779,17.07,0.050,4.476,0.21,0.00,0.00
117,0.1303,0.1176,,0.0833523,17.16,0.018,4.494,0.21,0.00,-0.02
118,0.1309,0.1177,,0.1753085,17.33,0.037,4.531,0.21,0.00,0.01
119,0.1300,0.1178,,0.0831625,17.42,0.018,4.548,0.21,0.00,-0.01
120,0.1312,0.1179,,0.2671859,17.68,0.057,4.605,0.21,0.00,0.01
121,0.1323,0.1180,,0.2058275,17.89,0.044,4.649,0.21,0.00,0.00
122,0.1314,0.1181,,0.0830369,17.97,0.018,4.666,0.21,0.00,-0.02
123,0.1325,0.1183,,0.2671123,18.24,0.056,4.723,0.21,0.00,0.01
124,0.1331,0.1184,,0.1755033,18.41,0.037,4.760,0.21,0.00,0.00
125,0.1344,0.1185,,0.2364721,18.65,0.050,4.810,0.21,0.00,0.00
126,0.1341,0.1186,,0.0217686,18.67,0.005,4.814,0.21,-0.01,-0.43
127,0.1332,0.1188,,0.0624506,18.73,0.013,4.827,0.21,0.00,0.11
128,0.1323,0.1189,,0.0829833,18.82,0.017,4.845,0.21,0.00,0.01
129,0.1333,0.1190,,0.2056479,19.02,0.043,4.888,0.21,0.00,0.01
130,0.1324,0.1191,,0.083087,19.11,0.017,4.906,0.21,0.00,-0.02
131,0.1337,0.1192,,0.2359891,19.34,0.049,4.955,0.21,0.00,0.01
132,0.1342,0.1193,,0.1750095,19.52,0.037,4.992,0.21,0.00,0.00
133,0.1337,0.1194,,0.1133637,19.63,0.024,5.015,0.21,0.00,0.00
134,0.1349,0.1195,,0.2357228,19.87,0.049,5.065,0.21,0.00,0.00
135,0.1352,0.1197,,0,19.87,0.000,5.065,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
